Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-Oct-05,1400,1403,1357,1362.3,1374.257653,165521,4723,227468501,45829,27.69,46,-37.7
31-Oct-05,1367.55,1406,1351,1400.25,1392.566639,110213,2996,153478947,30021,27.24,55,32.7
1-Nov-05,1411,1424.9,1390,1408.9,1413.247941,41881,1545,59188237,12404,29.62,34.9,-2.1
2-Nov-05,1412,1440,1388.35,1425.5,1408.915259,70639,2794,99524365,7985,11.3,51.65,13.5
7-Nov-05,1430,1461.25,1415.1,1458.65,1449.297704,80691,2971,116945281,21838,27.06,46.15,28.65
8-Nov-05,1470,1484.5,1470,1475.15,1477.052124,136635,3902,201817017,46683,34.17,14.5,5.15
9-Nov-05,1480,1482,1450.1,1456.5,1464.111509,129972,3409,190293501,41773,32.14,31.9,-23.5
10-Nov-05,1458,1476.45,1458,1469.05,1466.925026,139782,3797,205049714,28864,20.65,18.45,11.05
11-Nov-05,1475,1490,1471,1484.45,1480.778364,260617,3543,385916015,170351,65.36,19,9.45
14-Nov-05,1481.1,1514,1474.55,1509.45,1505.442373,302677,6941,455662781,101921,33.67,39.45,28.35
16-Nov-05,1511,1517,1495,1511.6,1510.404788,351789,4459,531343790,193036,54.87,22,0.6
17-Nov-05,1514.7,1517.9,1492,1506.65,1506.155389,196758,3724,296348122,73756,37.49,25.9,-8.05
18-Nov-05,1515,1531,1512.5,1527.6,1525.479569,557267,5433,850099423,337644,60.59,18.5,12.6
21-Nov-05,1532.6,1534,1508.05,1518.55,1524.588342,161005,2490,245466346,94118,58.46,25.95,-14.05
22-Nov-05,1515,1522.1,1488.15,1498.55,1504.656236,127131,4158,191288452,21678,17.05,33.95,-16.45
23-Nov-05,1500,1520.95,1500,1516.35,1515.665151,147371,2816,223365089,66553,45.16,20.95,16.35
24-Nov-05,1520,1532,1519.8,1523.55,1526.188038,103442,2596,157871943,33325,32.22,12.2,3.55
25-Nov-05,1530,1540,1520,1532.95,1531.447397,192735,2641,295163514,135530,70.32,20,2.95
26-Nov-05,1535,1540,1526.25,1535.85,1534.772978,17386,829,26683563,4531,26.06,13.75,0.85
28-Nov-05,1535.95,1550,1535.95,1547.35,1546.570138,218940,2595,338606066,152916,69.84,14.05,11.4
29-Nov-05,1545.5,1545.5,1522,1542.95,1535.489774,70363,2743,108041667,19266,27.38,23.5,-2.55
30-Nov-05,1545,1552,1515,1519,1538.092158,107923,2843,165995520,37169,34.44,37,-26
1-Dec-05,1520,1552,1516.2,1549,1540.642255,110523,2995,170276404,44628,40.38,35.8,29
2-Dec-05,1557.55,1567.8,1540,1548.45,1557.865371,191348,3103,298094423,96023,50.18,27.8,-9.1
5-Dec-05,1552,1555,1524,1528.2,1537.355936,69254,1819,106468048,27230,39.32,31,-23.8
6-Dec-05,1530,1569.7,1528,1555.25,1554.786459,148477,3746,230850029,61784,41.61,41.7,25.25
7-Dec-05,1565,1601,1556,1595.7,1582.167999,130995,5572,207256097,42428,32.39,45,30.7
8-Dec-05,1601,1625,1591.2,1619.4,1608.296885,265534,6478,427057505,96802,36.46,33.8,18.4
9-Dec-05,1620,1694.95,1612.15,1686.25,1660.197282,248832,8359,413110210,80160,32.21,82.8,66.25
12-Dec-05,1690,1704.85,1641.1,1649.35,1661.692712,292009,6604,485229227,150587,51.57,63.75,-40.65
13-Dec-05,1652,1680,1645,1667.75,1659.433257,189871,4614,315078252,80796,42.55,35,15.75
14-Dec-05,1665,1700,1640,1688,1671.394474,226864,5199,379179236,76486,33.71,60,23
15-Dec-05,1689,1699.95,1670.5,1693.05,1687.408514,230974,4323,389747494,105408,45.64,29.45,4.05
16-Dec-05,1695,1730,1681.15,1718.55,1705.61315,407178,7334,694488151,164873,40.49,48.85,23.55
19-Dec-05,1719,1750.85,1718.9,1732.9,1737.843362,138383,4480,240487978,37906,27.39,31.95,13.9
